region,month,export_value
Europe,2013-01-01,422745416.64000005
Europe,2013-02-01,402699042.27099997
Europe,2013-03-01,503321349.524
Europe,2013-04-01,466276291.337
Europe,2013-05-01,471716274.47999996
Europe,2013-06-01,599188777.129
Europe,2013-07-01,444672360.0239999
Europe,2013-08-01,428297219.24
Europe,2013-09-01,397239106.887
Europe,2013-10-01,430786109.969
Europe,2013-11-01,419875604.089
Europe,2013-12-01,366446221.669
Europe,2014-01-01,380757610.403
Europe,2014-02-01,391027412.48800004
Europe,2014-03-01,438146957.52
Europe,2014-04-01,412142390.079
Europe,2014-05-01,389050989.98399997
Europe,2014-06-01,458450995.657
Europe,2014-07-01,417607824.37200004
Europe,2014-08-01,363980392.22900003
Europe,2014-09-01,395408784.088
Europe,2014-10-01,389390473.80499995
Europe,2014-11-01,378573290.785
Europe,2014-12-01,416894891.035
Europe,2015-01-01,316625818.294
Europe,2015-02-01,338733987.67
Europe,2015-03-01,365129760.858
Europe,2015-04-01,316261412.263
Europe,2015-05-01,335974261.91999996
Europe,2015-06-01,411835261.025
Europe,2015-07-01,419437985.31299996
Europe,2015-08-01,344255590.339
Europe,2015-09-01,469678718.834
Europe,2015-10-01,469176590.757
Europe,2015-11-01,437641461.224
Europe,2015-12-01,370556748.43700004
Europe,2016-01-01,315964113.204
Europe,2016-02-01,432395280.542
Europe,2016-03-01,415952764.2
Europe,2016-04-01,374559132.372
Europe,2016-05-01,363277625.44699997
Europe,2016-06-01,383294222.01199996
Europe,2016-07-01,358912558.556
Europe,2016-08-01,329888041.181
Europe,2016-09-01,389892287.115
Europe,2016-10-01,332896688.786
Europe,2016-11-01,339355725.144
Europe,2016-12-01,327266655.731
Europe,2017-01-01,351310417.844
Europe,2017-02-01,344476769.506
Europe,2017-03-01,386379944.654
Europe,2017-04-01,347682575.721
Europe,2017-05-01,370738755.4
Europe,2017-06-01,397676026.453
Europe,2017-07-01,373656390.822
Europe,2017-08-01,373042368.69000006
Europe,2017-09-01,413385267.759
Europe,2017-10-01,402503579.47800004
Europe,2017-11-01,407073986.481
Europe,2017-12-01,386633046.704
Europe,2018-01-01,382319084.0
Europe,2018-02-01,368028676.96000004
Europe,2018-03-01,411725474.698
Europe,2018-04-01,415897324.023
Europe,2018-05-01,377624906.827
Europe,2018-06-01,391691919.496
Europe,2018-07-01,393433671.21500003
Europe,2018-08-01,367518836.20000005
Europe,2018-09-01,360980752.88
Europe,2018-10-01,370592892.038
Europe,2018-11-01,395188782.17800003
Europe,2018-12-01,334649791.469
Europe,2019-01-01,360993602.757
Europe,2019-02-01,337446312.94200003
Europe,2019-03-01,402729177.844
Europe,2019-04-01,417996460.445
Europe,2019-05-01,400381341.41400003
Europe,2019-06-01,387335624.79
Europe,2019-07-01,408075474.329
Europe,2019-08-01,360638621.935
Europe,2019-09-01,391771697.645
Europe,2019-10-01,416396733.8
Europe,2019-11-01,362030266.878
Europe,2019-12-01,311707772.9
Europe,2020-01-01,403147136.22400004
Europe,2020-02-01,381731150.935
Europe,2020-03-01,408878320.423
Europe,2020-04-01,344571073.957
Europe,2020-05-01,362193573.25
Europe,2020-06-01,435447560.928
Europe,2020-07-01,450262396.85099995
Europe,2020-08-01,386641719.797
Europe,2020-09-01,485661361.073
Europe,2020-10-01,471317312.689
Europe,2020-11-01,447070708.99799997
Europe,2020-12-01,428984312.893
JP+KR,2010-01-01,408487948.31
JP+KR,2010-02-01,448336065.861
JP+KR,2010-03-01,522321999.253
JP+KR,2010-04-01,544496174.109
JP+KR,2010-05-01,513712284.689
JP+KR,2010-06-01,540060379.359
JP+KR,2010-07-01,585543864.662
JP+KR,2010-08-01,557314293.332
JP+KR,2010-09-01,573883278.834
JP+KR,2010-10-01,614866014.102
JP+KR,2010-11-01,513360476.983
JP+KR,2010-12-01,575415528.0
JP+KR,2011-01-01,481605026.94
JP+KR,2011-02-01,503721976.164
JP+KR,2011-03-01,631645653.38
JP+KR,2011-04-01,596726217.052
JP+KR,2011-05-01,585458807.628
JP+KR,2011-06-01,610674328.807
JP+KR,2011-07-01,621971869.585
JP+KR,2011-08-01,550602246.6
JP+KR,2011-09-01,620649952.0
JP+KR,2011-10-01,523160007.552
JP+KR,2011-11-01,396256259.3
JP+KR,2011-12-01,460251009.764
JP+KR,2012-01-01,379453332.59
JP+KR,2012-02-01,468448187.396
JP+KR,2012-03-01,494432799.353
JP+KR,2012-04-01,491078003.197
JP+KR,2012-05-01,461028639.37
JP+KR,2012-06-01,493938556.317
JP+KR,2012-07-01,521904981.026
JP+KR,2012-08-01,507554670.276
JP+KR,2012-09-01,541055078.201
JP+KR,2012-10-01,511446563.414
JP+KR,2012-11-01,507839665.65
JP+KR,2012-12-01,457566826.777
JP+KR,2013-01-01,345739380.016
JP+KR,2013-02-01,351688700.862
JP+KR,2013-03-01,382745074.7
JP+KR,2013-04-01,391811765.52
JP+KR,2013-05-01,354618947.813
JP+KR,2013-06-01,411977321.206
JP+KR,2013-07-01,420292130.05
JP+KR,2013-08-01,453067254.198
JP+KR,2013-09-01,390399119.978
JP+KR,2013-10-01,415693688.239
JP+KR,2013-11-01,396544608.581
JP+KR,2013-12-01,404555367.43
JP+KR,2014-01-01,331309083.114
JP+KR,2014-02-01,377295237.498
JP+KR,2014-03-01,365561178.242
JP+KR,2014-04-01,384531322.5
JP+KR,2014-05-01,346593863.68
JP+KR,2014-06-01,366161751.343
JP+KR,2014-07-01,402284826.16
JP+KR,2014-08-01,412281659.801
JP+KR,2014-09-01,422767319.85
JP+KR,2014-10-01,401680225.226
JP+KR,2014-11-01,389253224.315
JP+KR,2014-12-01,364741924.576
JP+KR,2015-01-01,345210520.101
JP+KR,2015-02-01,304401741.31
JP+KR,2015-03-01,322593406.668
JP+KR,2015-04-01,354763949.61
JP+KR,2015-05-01,325899706.962
JP+KR,2015-06-01,344546817.136
JP+KR,2015-07-01,350171451.528
JP+KR,2015-08-01,330392146.17
JP+KR,2015-09-01,366358106.056
JP+KR,2015-10-01,343820920.104
JP+KR,2015-11-01,292703005.431
JP+KR,2015-12-01,350269822.032
JP+KR,2016-01-01,301299839.343
JP+KR,2016-02-01,287503022.24
JP+KR,2016-03-01,331714145.532
JP+KR,2016-04-01,327610677.044
JP+KR,2016-05-01,277256393.895
JP+KR,2016-06-01,333367661.925
JP+KR,2016-07-01,352400076.756
JP+KR,2016-08-01,343537158.375
JP+KR,2016-09-01,368319435.788
JP+KR,2016-10-01,343402982.496
JP+KR,2016-11-01,318273921.942
JP+KR,2016-12-01,327323835.432
JP+KR,2017-01-01,270789532.685
JP+KR,2017-02-01,305755740.84
JP+KR,2017-03-01,339559694.887
JP+KR,2017-04-01,358328125.54
JP+KR,2017-05-01,274317771.228
JP+KR,2017-06-01,320281525.928
JP+KR,2017-07-01,336268573.521
JP+KR,2017-08-01,330654492.755
JP+KR,2017-09-01,342451647.919
JP+KR,2017-10-01,323762234.833
JP+KR,2017-11-01,334829048.132
JP+KR,2017-12-01,346813474.169
JP+KR,2018-01-01,289308711.402
JP+KR,2018-02-01,293634235.782
JP+KR,2018-03-01,356969400.77
JP+KR,2018-04-01,332438334.098
JP+KR,2018-05-01,292863143.419
JP+KR,2018-06-01,344017917.421
JP+KR,2018-07-01,326519305.35
JP+KR,2018-08-01,331498538.038
JP+KR,2018-09-01,360124746.882
JP+KR,2018-10-01,365956327.303
JP+KR,2018-11-01,328311659.804
JP+KR,2018-12-01,332113120.165
JP+KR,2019-01-01,258733282.12
JP+KR,2019-02-01,247594091.192
JP+KR,2019-03-01,287456045.676
JP+KR,2019-04-01,302086681.227
JP+KR,2019-05-01,259443257.91
JP+KR,2019-06-01,301147638.729
JP+KR,2019-07-01,310559133.591
JP+KR,2019-08-01,320224339.269
JP+KR,2019-09-01,306485085.912
JP+KR,2019-10-01,327714002.788
JP+KR,2019-11-01,301869906.66
JP+KR,2019-12-01,310092864.208
JP+KR,2020-01-01,240961253.165
JP+KR,2020-02-01,312616433.24
JP+KR,2020-03-01,305663876.519
JP+KR,2020-04-01,316726344.031
JP+KR,2020-05-01,236180982.984
JP+KR,2020-06-01,233254526.178
JP+KR,2020-07-01,266437197.106
JP+KR,2020-08-01,278351544.42
JP+KR,2020-09-01,311556242.571
JP+KR,2020-10-01,316861463.097
JP+KR,2020-11-01,292172009.492
JP+KR,2020-12-01,331613601.02
SoutheastAsia,2010-01-01,309249758.97
SoutheastAsia,2010-02-01,288038059.48899996
SoutheastAsia,2010-03-01,417168682.592
SoutheastAsia,2010-04-01,404514002.33500004
SoutheastAsia,2010-05-01,400838406.713
SoutheastAsia,2010-06-01,463756160.55700004
SoutheastAsia,2010-07-01,437961053.923
SoutheastAsia,2010-08-01,441040023.977
SoutheastAsia,2010-09-01,490875714.594
SoutheastAsia,2010-10-01,487178301.638
SoutheastAsia,2010-11-01,420462972.45500004
SoutheastAsia,2010-12-01,467024441.90999997
SoutheastAsia,2011-01-01,445707321.661
SoutheastAsia,2011-02-01,473844370.749
SoutheastAsia,2011-03-01,656536043.5799999
SoutheastAsia,2011-04-01,538435904.256
SoutheastAsia,2011-05-01,432633415.004
SoutheastAsia,2011-06-01,662184138.858
SoutheastAsia,2011-07-01,585132945.803
SoutheastAsia,2011-08-01,596822114.49
SoutheastAsia,2011-09-01,489057432.25600004
SoutheastAsia,2011-10-01,649749653.355
SoutheastAsia,2011-11-01,421113010.51199996
SoutheastAsia,2011-12-01,466735239.357
SoutheastAsia,2012-01-01,450690225.595
SoutheastAsia,2012-02-01,491411207.717
SoutheastAsia,2012-03-01,443698946.027
SoutheastAsia,2012-04-01,414920191.96000004
SoutheastAsia,2012-05-01,508682266.73
SoutheastAsia,2012-06-01,416433141.073
SoutheastAsia,2012-07-01,469607038.39199996
