,EU,China,SouthEast Asia,Japan + Korea
2010,8.50174201089353,0.9792706765077871,8.07856742995865,0.7758703690306372
2011,4.105254986130723,1.917197260172254,3.4173232874174455,0.8153523990883451
2012,3.989033546659738,1.2411757656154805,5.625314416156922,1.3813404598624743
2013,3.6642871649309905,0.84204341547665,1.5272377192904842,0.5833270832096459
2014,5.61944491755643,0.7949410011248826,2.7763765452078464,1.0071513869796485
2015,38.887102526064574,0.7532238524536292,5.228939116700498,1.7293680699226663
2016,32.349161034821336,0.5640380254030944,1.9842334195643367,4.3483160543082775
2017,31.31158572055005,0.295466275552911,1.7098180353225103,3.629491845900441
2018,90.04129399529256,0.16402642283519717,1.1452988610083732,1.4517341012141478
2019,113.76659919061186,0.1880752432888732,1.9802792503948516,1.0392263967406048
2020,48.71283090834574,0.20377924248075652,3.093075639821397,1.3163806508251557
