,country,month,export_value
156,France,2010-12-01,66964550.882
157,Germany,2010-12-01,1175263194.42
158,Italy,2010-12-01,12037043.688
159,Japan,2010-12-01,575415528.0
160,Malaysia,2010-12-01,249809066.91
161,Netherlands,2010-12-01,517612798.885
162,Philippines,2010-12-01,34320090.0
163,Singapore,2010-12-01,161424862.0
164,Thailand,2010-12-01,21470423.0
165,USA,2010-12-01,242996918.0
166,Rep. of Korea,2010-12-01,268040791.646
167,Viet Nam,2010-12-01,39594.018
168,China,2011-01-01,2385324401.0
169,"China, Hong Kong SAR",2011-01-01,180845111.369
170,France,2011-01-01,20663765.04
171,Germany,2011-01-01,566029703.808
172,Italy,2011-01-01,5888860.88
173,Japan,2011-01-01,481605026.94
174,Malaysia,2011-01-01,207782034.661
175,Netherlands,2011-01-01,114640335.024
176,Philippines,2011-01-01,58647115.0
177,Singapore,2011-01-01,162491965.0
178,Thailand,2011-01-01,16786207.0
179,USA,2011-01-01,248928775.0
180,Rep. of Korea,2011-01-01,206137340.419
181,Viet Nam,2011-01-01,244976.633
182,China,2011-02-01,2155027159.0
183,"China, Hong Kong SAR",2011-02-01,149306259.41
184,France,2011-02-01,23978522.253
185,Germany,2011-02-01,617405989.413
186,Italy,2011-02-01,17996738.811
187,Japan,2011-02-01,503721976.164
188,Malaysia,2011-02-01,197787103.749
189,Netherlands,2011-02-01,130416870.625
190,Philippines,2011-02-01,45707267.0
191,Singapore,2011-02-01,213450129.0
192,Thailand,2011-02-01,16899871.0
193,USA,2011-02-01,240942149.0
194,Rep. of Korea,2011-02-01,199273000.223
195,Viet Nam,2011-02-01,296405.056
196,China,2011-03-01,2746525346.0
197,"China, Hong Kong SAR",2011-03-01,198683526.627
198,France,2011-03-01,38869889.381
199,Germany,2011-03-01,830604395.876
200,Italy,2011-03-01,18168616.149
201,Japan,2011-03-01,631645653.38
202,Malaysia,2011-03-01,289195535.58
203,Netherlands,2011-03-01,164440085.041
204,Philippines,2011-03-01,57430685.0
205,Singapore,2011-03-01,290965246.0
206,Thailand,2011-03-01,18944577.0
207,USA,2011-03-01,302428506.0
208,Rep. of Korea,2011-03-01,265793484.225
209,Viet Nam,2011-03-01,423566.14
210,China,2011-04-01,2827156462.0
211,"China, Hong Kong SAR",2011-04-01,165483985.065
212,France,2011-04-01,31764557.994
213,Germany,2011-04-01,735349568.83
214,Italy,2011-04-01,26099611.284
215,Japan,2011-04-01,596726217.052
216,Malaysia,2011-04-01,223381388.256
217,Netherlands,2011-04-01,134596073.57
218,Philippines,2011-04-01,51599696.0
219,Singapore,2011-04-01,243028114.0
220,Thailand,2011-04-01,20426706.0
221,USA,2011-04-01,265670501.0
222,Rep. of Korea,2011-04-01,217562880.361
223,Viet Nam,2011-04-01,269212.725
224,China,2011-05-01,2787664360.0
225,"China, Hong Kong SAR",2011-05-01,193232306.422
226,France,2011-05-01,42833996.62
227,Germany,2011-05-01,633877704.38
228,Italy,2011-05-01,20296729.894
229,Japan,2011-05-01,585458807.628
230,Malaysia,2011-05-01,149284117.004
231,Netherlands,2011-05-01,204784790.969
232,Philippines,2011-05-01,56629399.0
233,Singapore,2011-05-01,208615538.0
234,Thailand,2011-05-01,18104361.0
235,USA,2011-05-01,261644295.0
236,Rep. of Korea,2011-05-01,196093135.038
237,Viet Nam,2011-05-01,249600.148
238,China,2011-06-01,2393812522.0
239,"China, Hong Kong SAR",2011-06-01,183387080.97
240,France,2011-06-01,49183752.156
241,Germany,2011-06-01,759472785.68
242,Italy,2011-06-01,44403123.336
243,Japan,2011-06-01,610674328.807
244,Malaysia,2011-06-01,305318371.858
245,Netherlands,2011-06-01,234893164.44
246,Philippines,2011-06-01,71088597.0
247,Singapore,2011-06-01,259165497.0
248,Thailand,2011-06-01,26611673.0
249,USA,2011-06-01,256492494.0
250,Rep. of Korea,2011-06-01,174918189.337
251,Viet Nam,2011-06-01,132952.244
252,China,2011-07-01,2882338981.0
253,"China, Hong Kong SAR",2011-07-01,200347585.891
254,France,2011-07-01,35196305.888
255,Germany,2011-07-01,769295750.503
256,Italy,2011-07-01,22484186.296
257,Japan,2011-07-01,621971869.585
258,Malaysia,2011-07-01,262743517.803
259,Netherlands,2011-07-01,161938265.741
260,Philippines,2011-07-01,48811003.0
261,Singapore,2011-07-01,216010398.0
262,Thailand,2011-07-01,57568027.0
263,USA,2011-07-01,262064989.0
264,Rep. of Korea,2011-07-01,184672593.874
265,Viet Nam,2011-07-01,292527.13300000003
266,China,2011-08-01,2290518874.0
267,"China, Hong Kong SAR",2011-08-01,195409701.14
268,France,2011-08-01,39302875.059
269,Germany,2011-08-01,658368628.133
270,Italy,2011-08-01,33442554.747
271,Japan,2011-08-01,550602246.6
272,Malaysia,2011-08-01,218127268.49
273,Netherlands,2011-08-01,189552166.678
274,Philippines,2011-08-01,100612979.0
